[07:38:31] R= 423 , G= 423 , B= 423 , ORP= 582 , HCL=11.39 , SG= 1.31 , Temp=46.6
[07:41:27] R= 644 , G= 644 , B= 644 , ORP= 589 , HCL=9.56 , SG= 1.25 , Temp=45.1
[07:41:29] R= 644 , G= 644 , B= 644 , ORP= 589 , HCL=9.56 , SG= 1.25 , Temp=45.1
[07:41:31] R= 650 , G= 650 , B= 650 , ORP= 589 , HCL=9.49 , SG= 1.25 , Temp=45.1
[07:41:33] R= 650 , G= 650 , B= 650 , ORP= 589 , HCL=9.49 , SG= 1.25 , Temp=45.1
[07:41:35] R= 655 , G= 655 , B= 655 , ORP= 589 , HCL=9.43 , SG= 1.25 , Temp=45.0
[07:41:37] R= 655 , G= 655 , B= 655 , ORP= 589 , HCL=9.43 , SG= 1.25 , Temp=45.0
[07:41:39] R= 655 , G= 655 , B= 655 , ORP= 589 , HCL=9.43 , SG= 1.25 , Temp=45.0
[07:41:41] R= 660 , G= 660 , B= 660 , ORP= 589 , HCL=9.36 , SG= 1.25 , Temp=45.0
[07:41:43] R= 660 , G= 660 , B= 660 , ORP= 589 , HCL=9.36 , SG= 1.25 , Temp=45.0
[07:41:45] R= 665 , G= 665 , B= 665 , ORP= 588 , HCL=9.30 , SG= 1.25 , Temp=45.0
[07:41:47] R= 665 , G= 665 , B= 665 , ORP= 588 , HCL=9.30 , SG= 1.25 , Temp=45.0
[07:41:49] R= 665 , G= 665 , B= 665 , ORP= 588 , HCL=9.30 , SG= 1.25 , Temp=45.0
[07:41:51] R= 670 , G= 670 , B= 670 , ORP= 588 , HCL=9.23 , SG= 1.25 , Temp=45.0
[07:41:53] R= 670 , G= 670 , B= 670 , ORP= 588 , HCL=9.23 , SG= 1.25 , Temp=45.0
[07:41:55] R= 675 , G= 675 , B= 675 , ORP= 588 , HCL=9.16 , SG= 1.25 , Temp=45.0
[07:41:57] R= 675 , G= 675 , B= 675 , ORP= 588 , HCL=9.16 , SG= 1.25 , Temp=45.0
[07:41:59] R= 675 , G= 675 , B= 675 , ORP= 588 , HCL=9.16 , SG= 1.25 , Temp=45.0
[07:42:01] R= 680 , G= 680 , B= 680 , ORP= 588 , HCL=9.10 , SG= 1.24 , Temp=45.0
[07:42:03] R= 680 , G= 680 , B= 680 , ORP= 588 , HCL=9.10 , SG= 1.24 , Temp=45.0
[07:42:05] R= 685 , G= 685 , B= 685 , ORP= 587 , HCL=9.03 , SG= 1.24 , Temp=45.0
[07:42:07] R= 685 , G= 685 , B= 685 , ORP= 587 , HCL=9.03 , SG= 1.24 , Temp=45.0
[07:42:09] R= 685 , G= 685 , B= 685 , ORP= 587 , HCL=9.03 , SG= 1.24 , Temp=45.0
[07:42:11] R= 690 , G= 690 , B= 690 , ORP= 587 , HCL=8.96 , SG= 1.24 , Temp=45.0
[07:42:58] R= 729 , G= 729 , B= 729 , ORP= 583 , HCL=8.34 , SG=1.229 , Temp=45.0
[07:43:00] R= 733 , G= 733 , B= 733 , ORP= 583 , HCL=8.27 , SG=1.228 , Temp=45.0
[07:43:02] R= 733 , G= 733 , B= 733 , ORP= 583 , HCL=8.27 , SG=1.228 , Temp=45.0
[07:43:04] R= 737 , G= 737 , B= 737 , ORP= 582 , HCL=8.20 , SG=1.226 , Temp=45.0
[07:43:06] R= 737 , G= 737 , B= 737 , ORP= 582 , HCL=8.20 , SG=1.226 , Temp=45.0
[07:43:08] R= 737 , G= 737 , B= 737 , ORP= 582 , HCL=8.20 , SG=1.226 , Temp=45.0
[07:43:10] R= 740 , G= 740 , B= 740 , ORP= 582 , HCL=8.13 , SG=1.225 , Temp=45.0
[07:43:12] R= 740 , G= 740 , B= 740 , ORP= 582 , HCL=8.13 , SG=1.225 , Temp=45.0
[07:43:14] R= 744 , G= 744 , B= 744 , ORP= 581 , HCL=8.06 , SG=1.224 , Temp=45.0
[07:43:16] R= 744 , G= 744 , B= 744 , ORP= 581 , HCL=8.06 , SG=1.224 , Temp=45.0
[07:43:18] R= 744 , G= 744 , B= 744 , ORP= 581 , HCL=8.06 , SG=1.224 , Temp=45.0
[07:43:20] R= 747 , G= 747 , B= 747 , ORP= 581 , HCL=8.00 , SG=1.223 , Temp=45.0
[07:43:22] R= 747 , G= 747 , B= 747 , ORP= 581 , HCL=8.00 , SG=1.223 , Temp=45.0
[07:43:24] R= 751 , G= 751 , B= 751 , ORP= 580 , HCL=7.93 , SG=1.222 , Temp=45.0
[07:43:26] R= 751 , G= 751 , B= 751 , ORP= 580 , HCL=7.93 , SG=1.222 , Temp=45.0
[07:43:28] R= 751 , G= 751 , B= 751 , ORP= 580 , HCL=7.93 , SG=1.222 , Temp=45.0
[07:43:30] R= 754 , G= 754 , B= 754 , ORP= 580 , HCL=7.86 , SG=1.221 , Temp=45.1
[07:43:32] R= 754 , G= 754 , B= 754 , ORP= 580 , HCL=7.86 , SG=1.221 , Temp=45.1
[07:43:34] R= 757 , G= 757 , B= 757 , ORP= 579 , HCL=7.79 , SG=1.220 , Temp=45.1
[07:43:36] R= 757 , G= 757 , B= 757 , ORP= 579 , HCL=7.79 , SG=1.220 , Temp=45.1
[07:43:38] R= 757 , G= 757 , B= 757 , ORP= 579 , HCL=7.79 , SG=1.220 , Temp=45.1
[07:43:40] R= 760 , G= 760 , B= 760 , ORP= 578 , HCL=7.72 , SG=1.219 , Temp=45.1
[07:43:42] R= 760 , G= 760 , B= 760 , ORP= 578 , HCL=7.72 , SG=1.219 , Temp=45.1
[07:43:44] R= 763 , G= 763 , B= 763 , ORP= 578 , HCL=7.65 , SG=1.218 , Temp=45.1
[07:43:46] R= 763 , G= 763 , B= 763 , ORP= 578 , HCL=7.65 , SG=1.218 , Temp=45.1
[07:43:48] R= 763 , G= 763 , B= 763 , ORP= 578 , HCL=7.65 , SG=1.218 , Temp=45.1
[07:43:50] R= 766 , G= 766 , B= 766 , ORP= 577 , HCL=7.58 , SG=1.217 , Temp=45.1
[07:43:52] R= 766 , G= 766 , B= 766 , ORP= 577 , HCL=7.58 , SG=1.217 , Temp=45.1
[07:43:54] R= 768 , G= 768 , B= 768 , ORP= 576 , HCL=7.51 , SG=1.216 , Temp=45.2
[07:43:56] R= 768 , G= 768 , B= 768 , ORP= 576 , HCL=7.51 , SG=1.216 , Temp=45.2
[07:43:58] R= 768 , G= 768 , B= 768 , ORP= 576 , HCL=7.51 , SG=1.216 , Temp=45.2
[07:44:00] R= 771 , G= 771 , B= 771 , ORP= 576 , HCL=7.44 , SG=1.215 , Temp=45.2
[07:44:02] R= 771 , G= 771 , B= 771 , ORP= 576 , HCL=7.44 , SG=1.215 , Temp=45.2
[07:44:17] R= 778 , G= 778 , B= 778 , ORP= 574 , HCL= 7.23 , SG=1.212 , Temp=45.3
[07:44:19] R= 778 , G= 778 , B= 778 , ORP= 574 , HCL= 7.23 , SG=1.212 , Temp=45.3
[07:44:21] R= 780 , G= 780 , B= 780 , ORP= 573 , HCL= 7.16 , SG=1.211 , Temp=45.3
[07:44:23] R= 780 , G= 780 , B= 780 , ORP= 573 , HCL= 7.16 , SG=1.211 , Temp=45.3
[07:44:25] R= 782 , G= 782 , B= 782 , ORP= 572 , HCL= 7.10 , SG=1.210 , Temp=45.3
[07:44:27] R= 782 , G= 782 , B= 782 , ORP= 572 , HCL= 7.10 , SG=1.210 , Temp=45.3
[07:44:29] R= 782 , G= 782 , B= 782 , ORP= 572 , HCL= 7.10 , SG=1.210 , Temp=45.3
[07:44:31] R= 784 , G= 784 , B= 784 , ORP= 571 , HCL= 7.03 , SG=1.210 , Temp=45.4
[07:44:33] R= 784 , G= 784 , B= 784 , ORP= 571 , HCL= 7.03 , SG=1.210 , Temp=45.4
[07:44:35] R= 786 , G= 786 , B= 786 , ORP= 570 , HCL= 6.96 , SG=1.209 , Temp=45.4
[07:44:37] R= 786 , G= 786 , B= 786 , ORP= 570 , HCL= 6.96 , SG=1.209 , Temp=45.4
[07:44:39] R= 786 , G= 786 , B= 786 , ORP= 570 , HCL= 6.96 , SG=1.209 , Temp=45.4
[07:44:41] R= 788 , G= 788 , B= 788 , ORP= 570 , HCL= 6.89 , SG=1.208 , Temp=45.5
[07:44:43] R= 788 , G= 788 , B= 788 , ORP= 570 , HCL= 6.89 , SG=1.208 , Temp=45.5
[07:44:45] R= 790 , G= 790 , B= 790 , ORP= 569 , HCL= 6.83 , SG=1.207 , Temp=45.5
[07:44:47] R= 790 , G= 790 , B= 790 , ORP= 569 , HCL= 6.83 , SG=1.207 , Temp=45.5
[07:44:49] R= 790 , G= 790 , B= 790 , ORP= 569 , HCL= 6.83 , SG=1.207 , Temp=45.5
[07:44:51] R= 791 , G= 791 , B= 791 , ORP= 568 , HCL= 6.76 , SG=1.207 , Temp=45.5
[07:44:53] R= 791 , G= 791 , B= 791 , ORP= 568 , HCL= 6.76 , SG=1.207 , Temp=45.5
[07:44:55] R= 792 , G= 792 , B= 792 , ORP= 567 , HCL= 6.69 , SG=1.206 , Temp=45.6
[07:44:57] R= 792 , G= 792 , B= 792 , ORP= 567 , HCL= 6.69 , SG=1.206 , Temp=45.6
[07:44:59] R= 792 , G= 792 , B= 792 , ORP= 567 , HCL= 6.69 , SG=1.206 , Temp=45.6
[07:45:01] R= 794 , G= 794 , B= 794 , ORP= 566 , HCL= 6.63 , SG=1.206 , Temp=45.6
[07:45:03] R= 794 , G= 794 , B= 794 , ORP= 566 , HCL= 6.63 , SG=1.206 , Temp=45.6
[07:45:05] R= 795 , G= 795 , B= 795 , ORP= 565 , HCL= 6.56 , SG=1.205 , Temp=45.7
[07:45:07] R= 795 , G= 795 , B= 795 , ORP= 565 , HCL= 6.56 , SG=1.205 , Temp=45.7
[07:45:09] R= 796 , G= 796 , B= 796 , ORP= 565 , HCL= 6.50 , SG=1.204 , Temp=45.7
[07:45:11] R= 796 , G= 796 , B= 796 , ORP= 565 , HCL= 6.50 , SG=1.204 , Temp=45.7
[07:45:13] R= 796 , G= 796 , B= 796 , ORP= 565 , HCL= 6.50 , SG=1.204 , Temp=45.7
[07:45:15] R= 797 , G= 797 , B= 797 , ORP= 564 , HCL= 6.43 , SG=1.204 , Temp=45.8
[07:45:17] R= 797 , G= 797 , B= 797 , ORP= 564 , HCL= 6.43 , SG=1.204 , Temp=45.8
[07:45:19] R= 797 , G= 797 , B= 797 , ORP= 563 , HCL= 6.37 , SG=1.203 , Temp=45.8
[07:45:21] R= 797 , G= 797 , B= 797 , ORP= 563 , HCL= 6.37 , SG=1.203 , Temp=45.8
[07:45:23] R= 797 , G= 797 , B= 797 , ORP= 563 , HCL= 6.37 , SG=1.203 , Temp=45.8
[07:45:25] R= 798 , G= 798 , B= 798 , ORP= 562 , HCL= 6.30 , SG=1.203 , Temp=45.9
[07:45:27] R= 798 , G= 798 , B= 798 , ORP= 562 , HCL= 6.30 , SG=1.203 , Temp=45.9
[07:45:29] R= 799 , G= 799 , B= 799 , ORP= 561 , HCL= 6.24 , SG=1.202 , Temp=45.9
[07:45:31] R= 799 , G= 799 , B= 799 , ORP= 561 , HCL= 6.24 , SG=1.202 , Temp=45.9
[07:45:33] R= 799 , G= 799 , B= 799 , ORP= 561 , HCL= 6.24 , SG=1.202 , Temp=45.9
[07:45:35] R= 799 , G= 799 , B= 799 , ORP= 560 , HCL= 6.18 , SG=1.202 , Temp=46.0
[07:45:37] R= 799 , G= 799 , B= 799 , ORP= 560 , HCL= 6.18 , SG=1.202 , Temp=46.0
[07:45:39] R= 799 , G= 799 , B= 799 , ORP= 559 , HCL= 6.12 , SG=1.202 , Temp=46.0
[07:45:41] R= 799 , G= 799 , B= 799 , ORP= 559 , HCL= 6.12 , SG=1.202 , Temp=46.0
[07:45:43] R= 799 , G= 799 , B= 799 , ORP= 559 , HCL= 6.12 , SG=1.202 , Temp=46.0
[07:45:45] R= 799 , G= 799 , B= 799 , ORP= 558 , HCL= 6.06 , SG=1.201 , Temp=46.1
[07:45:47] R= 799 , G= 799 , B= 799 , ORP= 558 , HCL= 6.06 , SG=1.201 , Temp=46.1
[07:45:49] R= 799 , G= 799 , B= 799 , ORP= 557 , HCL= 6.00 , SG=1.201 , Temp=46.1
[07:45:51] R= 799 , G= 799 , B= 799 , ORP= 557 , HCL= 6.00 , SG=1.201 , Temp=46.1
[07:45:53] R= 799 , G= 799 , B= 799 , ORP= 557 , HCL= 6.00 , SG=1.201 , Temp=46.1
[07:45:55] R= 799 , G= 799 , B= 799 , ORP= 556 , HCL= 5.93 , SG=1.201 , Temp=46.2
[07:45:57] R= 799 , G= 799 , B= 799 , ORP= 556 , HCL= 5.93 , SG=1.201 , Temp=46.2
[07:45:59] R= 799 , G= 799 , B= 799 , ORP= 555 , HCL= 5.88 , SG=1.200 , Temp=46.2
[07:46:01] R= 799 , G= 799 , B= 799 , ORP= 555 , HCL= 5.88 , SG=1.200 , Temp=46.2
[07:46:03] R= 799 , G= 799 , B= 799 , ORP= 555 , HCL= 5.88 , SG=1.200 , Temp=46.2
[07:46:05] R= 799 , G= 799 , B= 799 , ORP= 554 , HCL= 5.82 , SG=1.200 , Temp=46.3
[07:46:07] R= 799 , G= 799 , B= 799 , ORP= 554 , HCL= 5.82 , SG=1.200 , Temp=46.3
[07:46:09] R= 799 , G= 799 , B= 799 , ORP= 553 , HCL= 5.76 , SG=1.200 , Temp=46.4
[07:46:11] R= 799 , G= 799 , B= 799 , ORP= 553 , HCL= 5.76 , SG=1.200 , Temp=46.4
[07:46:13] R= 799 , G= 799 , B= 799 , ORP= 553 , HCL= 5.76 , SG=1.200 , Temp=46.4
[07:46:15] R= 798 , G= 798 , B= 798 , ORP= 552 , HCL= 5.70 , SG=1.200 , Temp=46.4
[07:46:17] R= 798 , G= 798 , B= 798 , ORP= 552 , HCL= 5.70 , SG=1.200 , Temp=46.4
[07:46:19] R= 797 , G= 797 , B= 797 , ORP= 551 , HCL= 5.64 , SG=1.200 , Temp=46.5
[07:46:21] R= 797 , G= 797 , B= 797 , ORP= 551 , HCL= 5.64 , SG=1.200 , Temp=46.5
[07:46:23] R= 797 , G= 797 , B= 797 , ORP= 551 , HCL= 5.64 , SG=1.200 , Temp=46.5
[07:46:25] R= 797 , G= 797 , B= 797 , ORP= 550 , HCL= 5.59 , SG=1.200 , Temp=46.5
[07:46:27] R= 797 , G= 797 , B= 797 , ORP= 550 , HCL= 5.59 , SG=1.200 , Temp=46.5
[07:46:29] R= 796 , G= 796 , B= 796 , ORP= 549 , HCL= 5.53 , SG=1.200 , Temp=46.6
[07:46:31] R= 796 , G= 796 , B= 796 , ORP= 549 , HCL= 5.53 , SG=1.200 , Temp=46.6
[07:46:33] R= 796 , G= 796 , B= 796 , ORP= 549 , HCL= 5.53 , SG=1.200 , Temp=46.6
[07:46:35] R= 795 , G= 795 , B= 795 , ORP= 548 , HCL= 5.48 , SG=1.200 , Temp=46.7
[07:46:37] R= 795 , G= 795 , B= 795 , ORP= 548 , HCL= 5.48 , SG=1.200 , Temp=46.7
[07:46:39] R= 794 , G= 794 , B= 794 , ORP= 547 , HCL= 5.42 , SG=1.200 , Temp=46.7
[07:46:41] R= 794 , G= 794 , B= 794 , ORP= 547 , HCL= 5.42 , SG=1.200 , Temp=46.7
[07:46:43] R= 794 , G= 794 , B= 794 , ORP= 547 , HCL= 5.42 , SG=1.200 , Temp=46.7
[07:46:45] R= 792 , G= 792 , B= 792 , ORP= 546 , HCL= 5.37 , SG=1.200 , Temp=46.8
[07:46:47] R= 792 , G= 792 , B= 792 , ORP= 546 , HCL= 5.37 , SG=1.200 , Temp=46.8
[07:46:49] R= 791 , G= 791 , B= 791 , ORP= 545 , HCL= 5.32 , SG=1.200 , Temp=46.9
[07:46:51] R= 791 , G= 791 , B= 791 , ORP= 545 , HCL= 5.32 , SG=1.200 , Temp=46.9
[07:46:53] R= 791 , G= 791 , B= 791 , ORP= 545 , HCL= 5.32 , SG=1.200 , Temp=46.9
[07:46:55] R= 790 , G= 790 , B= 790 , ORP= 544 , HCL= 5.27 , SG=1.200 , Temp=46.9
[07:46:57] R= 790 , G= 790 , B= 790 , ORP= 544 , HCL= 5.27 , SG=1.200 , Temp=46.9
[07:46:59] R= 788 , G= 788 , B= 788 , ORP= 542 , HCL= 5.22 , SG=1.200 , Temp=47.0
[07:47:01] R= 788 , G= 788 , B= 788 , ORP= 542 , HCL= 5.22 , SG=1.200 , Temp=47.0
[07:47:03] R= 788 , G= 788 , B= 788 , ORP= 542 , HCL= 5.22 , SG=1.200 , Temp=47.0
[07:47:05] R= 786 , G= 786 , B= 786 , ORP= 541 , HCL= 5.17 , SG=1.200 , Temp=47.1
[07:47:07] R= 786 , G= 786 , B= 786 , ORP= 541 , HCL= 5.17 , SG=1.200 , Temp=47.1
[07:47:09] R= 784 , G= 784 , B= 784 , ORP= 540 , HCL= 5.12 , SG=1.200 , Temp=47.2
[07:47:11] R= 784 , G= 784 , B= 784 , ORP= 540 , HCL= 5.12 , SG=1.200 , Temp=47.2
[07:47:13] R= 784 , G= 784 , B= 784 , ORP= 540 , HCL= 5.12 , SG=1.200 , Temp=47.2
[07:47:15] R= 782 , G= 782 , B= 782 , ORP= 539 , HCL= 5.07 , SG=1.200 , Temp=47.2
[07:47:17] R= 782 , G= 782 , B= 782 , ORP= 539 , HCL= 5.07 , SG=1.200 , Temp=47.2
[07:47:19] R= 780 , G= 780 , B= 780 , ORP= 538 , HCL= 5.02 , SG=1.200 , Temp=47.3
